Question,Option A,Option B,Option C,Option D,Correct Option
پاکستان کی بھارت کے ساتھ سرحد کی لمبائی ہے؟,1610 کلومیٹر,1800 کلومیٹر,2110 کلومیٹر,2500 کلومیٹر,A
شمال میں افغانستان کی ایک تنگ پٹی پاکستان کو تاجکستان سے جدا کرتی ہے؟,واخان راہداری,خیبر پاس,شاہراہِ قراقرم,درہ خنجراب,A
پاک افغان سرحد ڈر یوٹڈ لائن کب متعین کی گئی تھی ؟,1889,1893,1899,1901,B
پاک افغان سرحد ڈریونڈ لائن کی لمبائی ہے؟,2250 کلومیٹر,2400 کلومیٹر,2611 کلومیٹر,2700 کلومیٹر,A
پاکستان کے چین کے ساتھ سرحد کے لمبائی ہے؟,500 کلومیٹر,600 کلومیٹر,585 کلومیٹر,550 کلومیٹر,C
 ترچ میر کس سلسلے کی بلند ترین چوٹی ہے؟,کوہ ہندوکش,کوہ سلیمان,کوہ قراقرم,کوہ ہمالیہ,A
درہ خنجراب اور درہ قراقرم کسی پہاڑی سلسے کے اہم درے ہیں؟,کوہ ہندوکش,کوہ سلیمان,کوہ قراقرم,کوہ ہمالیہ,C
جھیل سیف الملوک کہاں واقع ہے؟,سوات,گلگت,کاغان,ہنزہ,C
نانگا پر بت چوٹی کی لمبائی ہے؟,8126 میٹر,8091 میٹر,8250 میٹر,8010 میٹر,A
دنیا کی بلند ترین چوٹی کا نام ہے؟,کے ٹو,ماؤنٹ ایورسٹ,نانگا پربت,ترچ میر,B
 کے ٹو کی بلندی ہے؟,8611 میٹر,8500 میٹر,8640 میٹر,8700 میٹر,A
کوہ قراقرم کے اوسط بلندی ہے؟,6100 میٹر,5000 میٹر,7000 میٹر,8000 میٹر,A
پاکستان کے شمال میں واخان کی پٹی اسے کس ملک سے جدا کرتی ہے؟,بھارت,چین,افغانستان,تاجکستان,D
حج میں کتنے فرائض ہیں ؟,دو,تین,چار,پانچ,B
صفا اور مروہ کے درمیان کی جاتی ہیں؟,طواف,سعی,قربانی,وقوف عرفات,B
لیلۃ القدر بہتر رات ہے؟,100 راتوں سے,1000 مہینوں سے,10 سالوں سے,12 مہینوں سے,B
روزے کا بنیادی مقصد ہے؟,صحت,عبادت,مغفرت,تقویٰ,D
روزے کو عربی میں کہتے ہیں ؟,صلاۃ,سوم,صوم,الطہارہ,C
قیامت کے دن صور پھونکا جائے گا ؟,ایک بار,دو بار,تین بار,چار بار,B
ابن خلدون کا انتقال ہوا ؟,1400,1406,1410,1415,B
ابن خلدون پیدا ہوئے؟,1320,1332,1340,1350,B
سلطان صلاح الدین نے فتح کیا ؟,یروشلم,بغداد,دمشق,قسطنطنیہ,A
سلطان صلاح الدین کی نسل تھی ؟,ترک,عرب,فارسی,کرد,D
حضرت ادم کا پیشہ تھا ؟,گلہ بانی,تجارت,کھیتی باڑی,معمار,C
حضرت بلال کو کس نے از اد کیا تھا؟,حضرت عمر,حضرت عثمان,حضرت ابو بکر,حضرت علی,C
حضرت محمد اپنے زندگی کی آخری لمحات کہاں گزاری ؟,مسجد نبوی,حضرت عائشہ کا حجرہ,غار حرا,بیت المقدس,B
غزوہ تبوک کونسی موسم میں ہوا تھا؟,خزاں,بہار,سردی,گرمی,D
دیوار چین بنی ہوئی ہیں؟,مٹی اور پتھر,لکڑی,لوہا,کنکریٹ,A
زکوۃ کے لفظی معنی ہیں؟,پاکیزگی,عبادت,خیرات,قربانی,A
عام الحزن کہتے ہیں؟,خوشی کا سال,جنگ کا سال,غم کا سال,فتح کا سال,C
حضرت شعیب کا پیشہ تھا ؟,گلہ بانی,تجارت,کھیتی باڑی,معمار,A
پولو زبان کا لفظ ہے؟,بلتی,اردو,سرائیکی,فارسی,A
فتح مکہ میں مسلمانوں کی تعداد تھی ؟,5000,"10,000","15,000","20,000",B
ایران کا سرکاری مذہب ہے؟,اسلام,بدھ مت,عیسائیت,یہودیت,A
غزوہ تبوک کسی سن ھجری میں ہوا ؟,7 ہجری,9 ہجری,10 ہجری,6 ہجری,B
صلاح الدین ایوبی کس کی پاس فوجی افسر تھے؟,نور الدین زنگی,طغرل بیگ,محمود غزنوی,امیر تیمور,A
دیوار چین آج سے تقریبا سال کتنے پہلے بنائی گئی تھی؟,"2,000 سال","2,500 سال","1,800 سال","3,000 سال",B
غزوہ حنین میں الشکر اسلام کی تعداد تھی ؟,"8,000","12,000","10,000","15,000",B
کانگرس کی بنیاد رکھی تھی؟,سر سید احمد خان,ایلن اوکٹویئن ہوم,گاندھی جی,جواہر لال نہرو,B
غزوہ حنین میں کفار کا سردار کون تھا ؟,ابوجہل,عتبہ بن ربیعہ,مالک بن عوف,سفیان بن حرب,C
سرسید احمد خان پیدا ہوئے؟,1817,1820,1816,1813,A
فتح مکہ کے بعد کونسا غزوہ پیش آیا تھا ؟,غزوہ تبوک,غزوہ احد,غزوہ بدر,غزوہ حنین,D
آل انڈیا مسلم لیگ کی بنیاد رکھی گئی ؟,1906,1915,1920,1910,A
غزوہ حنین کن قبائل کے ساتھ پیش آیا تھا ؟,قریش,ہوازن,غطفان,بنواسد,B
سرسید احمد خان کا اہم کارنامہ کیا تھا؟,علی گڑھ تحریک,مسلم لیگ کی بنیاد,تحریک خلافت,جنگ آزادی 1857,A
عربی زبان میں دُعا کے معنی ہیں؟,عبادت,پکارنا,حکم دینا,رحم کرنا,B
ایسٹ انڈیا کمپنی قائم ہوا ؟,1600,1700,1500,1800,A
بعثت انبیاء کا مقصد کیا ہیں؟,دین کی تبلیغ,جنگ کرنا,تجارت,حکومت,A
قائد اعظم نے یوم نجات منانے کا اعلان کب کیا تھا؟,1930,1939,1945,1947,B
رسالت کے لفظی معنی ہیں؟,پیغام دینا,سچ بولنا,عبادت کرنا,حکمت,A
سورت الکھف میں کتنے رکوع ہیں؟,12,10,14,9,A
کانگرس اور مسلم لیگ میں لکھنو کے مقام پر معاہدہ کب ہوا تھا؟,1911,1905,1916,1920,C
طارق بن زیاد کا تعلق افریقہ کی کونسی نسل سے تھے؟,بربر,عرب,حبشی,قریشی,A
پہلی جنگ عظیم ختم ہوئی ؟,1914,1917,1918,1919,c
حضرت خدیجہ کا لقب تھا ؟,طاہرہ,صدیقہ,صائمہ,صابرہ,A
پہلی جنگ عظیم شروع ہوئی ؟,1913,1914,1918,1916,B
حضرت خدیجہ کے قبیلے کا نام تھا ؟,قریش,ہوازن,بنو ثقیف,بنواسد,D
غزوہ خیبر میں کتنے صحابہ شہید ہوئے؟,20,14,10,12,B
غزوہ خیبر میں کتنے یہودی ہلاک ہوئے ؟,80,90,93,60,C
تیسرا گول میز کانفرنس منعقد ہوا ؟,1933,1932,1930,1929,B
قلعہ قموص کس نامی گرامی پہلوان کا تھا ؟,مرحب,عتبہ,ابو سفیان,صفوان,A
پہلا گول میز کانفرنس کا پہلا دور تھا ؟,1930,1929,1931,1932,A
خیبر مدینہ منورہ سے شمال کی جانب کتنے فاصلے پر واقع ہے؟,150 کلومیٹر,200 کلومیٹر,250 کلومیٹر,300 کلومیٹر,A
حدیبیہ مکہ مکرمہ سے دور ہے؟,10 کلومیٹر,18 کلومیٹر,15 کلومیٹر,25 کلومیٹر,B
آبادی کے لحاظ سے پاکستان کا سب سے بڑا صوبہ ہے؟,بلوچستان,خیبر پختونخوا,سندھ,پنجاب,D
حج فرض ہوا ؟,9 ہجری,5 ہجری,10 ہجری,7 ہجری,A
دنیا میں سب سے زیادہ آبادی والا ملک ہے؟,چین,بھارت,امریکہ,نڈونیشیا,A
نماز جنازہ میں نہیں ہوتا ؟,قیام,سلام,سجدہ,تکبیر,C
کے ٹو واقع ہے؟,قراقرم,ہمالیہ,ہندوکش,سلیمان,A
نماز جنازہ ہے؟,سنت,واجب,فرضِ عین,فرضِ کفایہ,D
پاکستان کا کل رقبہ ہے؟,"796,096 مربع کلومیٹر","880,254 مربع کلومیٹر","750,543 مربع کلومیٹر","1,000,000 مربع کلومیٹر",A
المنکر کے معنی ہیں؟,برائی,نیکی,انکار کرنا,سچ,A
دنیا کے سب سے لمبا دریا ہے؟,دریائے یانگتسی,دریائے ایمیزون,دریائے نیل,دریائے میسیسیپی,C
صلوۃ کے لغوی معنی ہیں؟,دعا,عبادت,قیام,ذکر,A
جب سورج اور زمین کے درمیان چاند آ جائے؟,سورج گرہن,شہاب ثاقب,چاند کا گزر,چاند گرہن,A
مسجد نبوی کے پہلے موذن تھے؟,,حضرت بلال رضی اللہ عنہحضرت ابوذر غفاری,حضرت سعد بن معاذ,حضرت عبدالرحمان بن عوف,B
زمین سورج کے گرد چکر مکمل کرتی ہے؟,360 دن میں,365 دن میں,366 دن میں,364 دن میں,B
آذان کے لغوی معنی ہے؟,نماز کا آغاز,جمع کرنا,دعا,اعلان کرنا,D
دنیا کا سب سے چھوٹا براعظم ہے؟,آسٹریلیا,یورپ,افریقہ,انٹارکٹیکا,A
تو حید کے لغوی معنی ہیں؟,ایک ماننا,عبادت کرنا,ذکر کرنا,ربوبیت,A
رقبے کے لحاظ سے دنیا کے سب سے بڑا براعظم ہے؟,ایشیا,افریقہ,یورپ,جنوبی امریکہ,A
غزوہ احزاب میں لشکر کفار کی قیادت کون کر رہا تھا؟,عکرمہ بن ابو جہل,خالد بن ولید,ابو سفیان,ابو جہل,C
سورج کے سب سے نزدیک ترین سیارہ ہے؟,عطارد,زہرہ,زمین,مریخ,A
حضرت سلمان فارسی کا تعلق کس ملک سے تھا ؟,عراق,ایران,یمن,شام,B
نظام شمسی میں کل سیارے ہیں ؟,8,7,9,10,A
غزوہ خندق یا احزاب میں خندق کھودنے کا مشورہ کس کیا تھا ؟,حضرت علی,حضرت ابو بکر صدیق,حضرت سلمان فارسی,حضرت عمر فاروق,C
سلطان محمود غزنوی نے پاک و ہند پر کتنے حملے کئے؟,16,17,18,15,B
غزوہ اُحد کس اسلامی مہینے میں پیش آیا ۔؟,شوال,رمضان,محرم,رجب,A
محمود غزنوی کس مقام پر پیدا ہوئے؟,بخارا,سمرقند,غزنی,ہرات,C
غزوہ اُحد کس سن ہجری میں پیش آیا؟,3 ہجری,5 ہجری,2 ہجری,4 ہجری,A
محمد بن قاسم اور حجاج بن یوسف رشتے میں تھے؟,بھائی,داماد اور سسر,بیٹا اور باپ,بھتیجا اور چچا,D
 غزوہ احد میں مشرکین مکہ کی قیادت کس نے کی؟,ابوسفیان,ابوجہل,خالد بن ولید,عتبہ بن ربیعہ,A
قراقرم کی لمبائی کتنی ہے؟,1300 کلومیٹر,1200 کلومیٹر,1600 کلومیٹر,500 کلومیٹر,D
 غزوہ بدر میں کتنے مسلمان شہید ہوئے؟,10,14,7,12,B
 خوشحال خان خٹک کہاں پیدا ہوئے تھے؟,پشاور,اکوڑہ خٹک,کوہاٹ,چارسدہ,B
 بدر کا مقام مدینہ منورہ سے تقریباً کتنے کلومیٹر دور ہے؟,80 کلومیٹر,100 کلومیٹر,120 کلومیٹر,150 کلومیٹر,A
" وہ لڑائی جس میں حضور صلی اللہ علیہ وآلہ وسلم شریک نہ ہوئے، اسے کیا کہتے ہیں؟",غزوہ,سریہ,مقابلہ,جہاد,B
 انگریز تاجروں کے تجارتی ادارے کا نام کیا تھا؟,ڈچ ایسٹ انڈیا کمپنی,برٹش ایسٹ انڈیا کمپنی,فرنچ ایسٹ انڈیا کمپنی,انڈین نیشنل کانگریس,B
 غزوہ بدر کس اسلامی مہینے میں پیش آیا؟,رمضان,رجب,شوال,محرم,A
 آخری مغل حکمران کا نام کیا تھا؟,شاہجہاں,بہادر شاہ ظفر,اورنگزیب,اکبر,B
 سر سید احمد خان کہاں پیدا ہوئے؟,دہلی,لکھنؤ,علی گڑھ,پٹنہ,A
 ابتدائی طور پر مسجد نبوی کی دیواریں کس چیز سے بنائی گئیں؟,اینٹ,مٹی,کھجور کے تنے,پتھر,C
 انڈین نیشنل کانگریس کا بانی کون تھا؟,بال گنگا دھر تلک,اے او ہیوم,ڈادابھائی نورو جی,مہاتما گاندھی,B
 مسجد نبوی کی تعمیر کا آغاز کس سن عیسوی میں ہوا؟,622,624,630,632,A
 ہجرت مدینہ کے بعد حضور صلی اللہ علیہ وآلہ وسلم نے کس صحابی کے گھر قیام کیا؟,حضرت ابو بکر,حضرت ابو ایوب انصاری,حضرت عمر,حضرت علی,B
 اردو ہندی تنازعہ کب ہوا؟,1867,1905,1911,1947,A
ہجرت مدینہ کے دوران حضور صلی اللہ علیہ وآلہ وسلم کس جانور پر سوار تھے؟,گھوڑا,اونٹ,خچر,گدھا,B
 انڈین نیشنل کانگریس کی بنیاد کب رکھی گئی تھی؟,1885,1905,1919,1947,A
 مواخات مدینہ کسی صحابی کے گھر سرانجام پائی؟,حضرت سعد بن معاذ,حضرت ابو ایوب انصاری,حضرت عثمان بن عفان,حضرت علی,A
 رمضان کے روزے کب فرض ہوئے؟,2 ہجری,3 ہجری,5 ہجری,1 ہجری,A
 جنت کا کون سا دروازہ روزے دار کے لیے ہے؟,باب الرحمہ,باب السلام,باب الریان,باب الجنت,C
 وادی سوات کو کس نام سے جانا جاتا ہے؟,گل زمین,وادی جنت,پہاڑی وادی,وادی نیلم,B
 عید الفطر کس اسلامی مہینے میں منائی جاتی ہے؟,شوال,رمضان,ذوالحجہ,محرم,A
 وادی نیلم کس علاقے میں ہے؟,آزاد کشمیر,خیبر پختونخوا,بلوچستان,پنجاب,A
 سنت کے لغوی معنی کیا ہیں؟,نیا کام,عادت,عبادت,معافی,B
 خنجراب پاس کہاں واقع ہے؟,گلگت بلتستان,خیبر پختونخوا,بلوچستان,سندھ,A
حضرت شعیب کا حضرت موسیٰ سے کیا رشتہ تھا؟,بھائی,دادا,سسر,چچا,C
 مینار پاکستان کس تاریخی واقعے کی یادگار ہے؟,قرارداد پاکستان,قیام پاکستان,جنگ آزادی,قیام لاہور,A
 مدینہ منورہ کا پرانا نام کیا تھا؟,یثرب,خیبر,مکہ,طائف,A
 Which part of the computer is used for long-term data storage?,   RAM,  Hard Drive,   Cache,   Processor,B
" Which language is known as the ""mother of all programming languages""?",   C++,  C,   Python,   Assembly,B
5. What is the default file extension for Microsoft Excel files?,   .docx,  .pdf,   .xlsx,   .pptx,C
7. What does the abbreviation “Wi-Fi” stand for?,   Wireless Finder,  Wireless Fidelity,   Wireless Frequency,   Wide Fidelity,B
8. Which device is used to connect multiple networks together?,   Hub,  Switch,   Router,   Modem,C
9. What does PDF stand for?,   Portable Document Format,  Printable Document Format,   Permanent Data File,   Portable Data File,A
10. Which company developed the Windows operating system?,   Apple,  IBM,   Microsoft,   Google,C
11. The first computer virus is known as:,   WannaCry,  Creeper,   ILoveYou,   Sasser,B
12. What is the main function of an operating system?,   Provide a user-friendly interface,  Manage hardware and software,   Enable multitasking,   All of the above,   D
13. What does LAN stand for?,   Local Area Network,  Large Area Network,   Limited Access Network,   Logical Access Network,   A
15. Which programming language is best suited for AI and ML applications?,   Java,  C++,   Python,   Ruby,   C
16. What is the full form of BIOS?,   Basic Input Output Software,  Basic Input Output System,   Binary Input Output System,   Binary Input Output Software,   B
17. Which memory is non-volatile?,   RAM,  ROM,   Cache,   Registers,   B
18. Which is the most commonly used computer port for connecting keyboards and mice?,   USB,  HDMI,   VGA,   PS/2,   A
19. What is the purpose of a firewall in a network?,   To speed up internet browsing,  To protect against unauthorized access,   To enhance system performance,   To monitor data packets,   B
20. What is the base of the binary number system?,8,10,2,16,   C
21. Which protocol is used to send emails?,   SMTP,  FTP,   HTTP,   POP,   A
22. The main circuit board in a computer is called:,   Processor,  Motherboard,   Power Supply,   RAM,   B
23. Which type of software is an operating system?,   Application Software,  System Software,   Utility Software,   Malware,   B
24. Who invented the World Wide Web (WWW)?,   Charles Babbage,  Alan Turing,   Tim Berners-Lee,   Dennis Ritchie,   C
25. What does “https” signify in a URL?,   Hyper Text Transfer Protocol,  Secure Hyper Text Transfer Protocol,   Hyperlink Transfer Protocol,   Secure Link Protocol,   B
26. Which file format is used for images?,   JPEG,  DOCX,   TXT,   EXE,   A
27. What is the function of cache memory?,   Store frequently accessed data,  Provide backup,   Run antivirus,   Manage I/O devices,   A
28. Who developed the Python programming language?,   Guido van Rossum,  Dennis Ritchie,   James Gosling,   Linus Torvalds,   A
29. What is a pixel?,   The smallest unit of a digital image,  A type of display,   A unit of resolution,   A graphics card,   A
30. Which of the following is NOT an input device?,   Keyboard,  Mouse,   Scanner,   Printer,   D
31. What does DNS stand for?,   Data Network System,  Digital Network Service,   Domain Name System,   Distributed Network Service,   C
32. Which of the following is an example of an operating system?,   Windows 10,  Microsoft Word,   Adobe Photoshop,   Oracle,   A
33. What is the function of the Control Unit (CU) in a CPU?,   Perform calculations,  Direct the flow of instructions and data,   Store data temporarily,   Manage input and output devices,   B
34. Which key is used to refresh a web page?,   F1,  F2,   F5,   F10,   C
35. What does IP stand for in IP address?,   Internal Packet,  Internet Provider,   Internet Protocol,   Inter Process,   C
36. In which year was the first computer invented?,1946,1950,1936,1960,   A
37. What is an algorithm?,   A programming language,  A step-by-step procedure for solving a problem,   A type of software,   A mathematical formula,   B
38. Which shortcut key is used to copy text?,   Ctrl + C,  Ctrl + V,   Ctrl + C,   Ctrl + P,   A
39. Which is the smallest unit of the computer memory?,   Byte,  Bit,   Word,   Nibble,   B
40. Which storage device has no moving parts?,   Hard Disk Drive,  CD-ROM,   Solid-State Drive (SSD),   Floppy Disk,   C
41. What does “booting” refer to in computers?,   Installing software,  Shutting down the system,   Starting up the computer,   Running diagnostics,   C
42. Which of these is a type of malware?,   Antivirus,  Trojan Horse,   Firewall,   Router,   B
"43. What is the purpose of the ""ping"" command?",   Transfer files,  Test connectivity between two systems,   Install updates,   Configure a network,   B
44. Which type of memory is used to store the BIOS?,   RAM,  ROM,   Cache,   Flash Memory,   B
45. Which of the following is NOT a database management system?,   MySQL,  Oracle,   Microsoft Access,   Ubuntu,   D
46. What is the role of a compiler?,   Debug the code,  Convert source code to machine code,   Execute code directly,   Manage memory allocation,   B
47. Which of the following is an example of cloud storage?,   SSD,  Hard Drive,   Google Drive,   DVD,   C
48. What does ASCII stand for?,   American System Code for International Information,  American Standard Code for Information Interchange,   Advanced Standard Code for Information Interchange,   American Standard Code for International Information,   B
49. Which protocol is primarily used for file transfers on the internet?,   HTTP,  FTP,   SMTP,   IMAP,   B
50. What is the primary function of an antivirus program?,   Speed up the system,  Detect and remove malicious software,   Optimize the operating system,   Backup important files,   B
51. Which programming language is used to develop Android apps?,   Python,  Java,   Ruby,   Swift,   B
52. What is the hexadecimal equivalent of the binary number 1101?,   B,  D,   F,   E,   B
53. What is the function of a modem?,   Converts digital signals to analog and vice versa,  Stores files,   Processes data,   Displays output,   A
"54. In a relational database, data is stored in the form of:",   Files,  Tables,   Records,   Arrays,   B
55. Which type of network covers a large geographical area?,   LAN,  MAN,   WAN,   PAN,   C
"56. What is the purpose of the ""Ctrl + Z"" shortcut?",   Save,  Undo,   Redo,   Print,   B
57. What is an IP address?,   An email address,  A unique identifier for a device on a network,   A website URL,   A file path,   B
58. Which of the following is an example of system software?,   Windows,  Microsoft Word,   Adobe Acrobat,   VLC Player,   A
59. What does SSD stand for?,   Solid Standard Drive,  Storage System Disk,   Solid-State Drive,   Standard Storage Disk,   C
60. What is the purpose of a proxy server?,   To host a website,  To store data,   To act as an intermediary between client and server,   To manage passwords,   C
61. Which of the following is NOT a computer programming language?,   Python,  Java,   HTML,   C++,   C
62. What does GUI stand for?,   General User Interface,  Graphical User Internet,   Graphical User Interface,   General Use Interface,   C
63. Which storage device uses optical technology?,   SSD,  Hard Drive,   CD/DVD,   USB Drive,   C
64. What does HTTP stand for?,   HyperText Transfer Protocol,  HyperText Transmission Protocol,   Hyperlink Transfer Protocol,   Hyperlink Text Transfer,   A
65. What is the name of the first electronic computer?,   ENIAC,  UNIVAC,   ABC,   Colossus,   C
66. Which programming language is primarily used for web development?,   Python,  C,   JavaScript,   Swift,   C
67. Which type of memory is used for high-speed storage and is close to the CPU?,   Hard Disk,  Cache,   RAM,   ROM,   B
68. Which key combination is used to select all text in a document?,   Ctrl + C,  Ctrl + X,   Ctrl + V,   Ctrl + A,   D
69. Which company developed the Java programming language?,   Microsoft,  Sun Microsystems,   Oracle,   IBM,   B
70. What does RAM stand for?,   Random Access Memory,  Read-Only Memory,   Random Access Memory,   Rapid Access Module,   C
71. Which layer of the OSI model is responsible for data encryption?,   Physical Layer,  Network Layer,   Presentation Layer,   Transport Layer,   C
72. What is the full form of URL?,   Uniform Resource Locator,  Unified Resource Locator,   Unique Resource Locator,   Uniform Relational Link,   A
73. Which of the following is NOT a type of database?,   Hierarchical Database,  Network Database,   Distributed Database,   Cascading Database,   D
74. Which programming language is used for statistical computing?,   Python,  R,   Java,   PHP,   B
75. Which device converts digital signals into analog signals?,   Modem,  Router,   Hub,   Switch,   A
76. What is the purpose of the “traceroute” command?,   Show the path data takes to a destination,  Test internet speed,   Resolve IP addresses to domains,   Update network drivers,   A
77. Which type of malware replicates itself to spread to other devices?,   Spyware,  Worm,   Trojan,   Adware,   B
78. What is the name of the process that turns code into machine-readable instructions?,   Compilation,  Debugging,   Execution,   Linking,   A
"79. In Excel, what does the “SUM” function do?",   Subtract numbers,  Add numbers,   Multiply numbers,   Divide numbers,   B
80. What is the primary function of an operating system?,   Manage hardware resources,  Provide user interface,   Enable application execution,   All of the above,   D
81. What is the smallest unit of a digital image?,   Byte,  Vector,   Pixel,   Grid,   C
82. What is the extension for a Python file?,   .pyc,  .java,   .py,   .exe,   C
83. Which company is the developer of the Linux operating system?,   Microsoft,  Sun Microsystems,   Apple,   None of the above (Linux was created by Linus Torvalds),   D
84. What does XML stand for?,   Extensible Markup Language,  Extended Markup Language,   Executable Markup Language,   Extensive Module Language,   A
85. Which is an open-source relational database?,   Oracle,  MySQL,   Microsoft SQL Server,   IBM Db2,   B
86. Which of the following is used for managing virtual machines?,   Operating System,  Hypervisor,   Firmware,   Application Software,   B
87. What does the term “IoT” stand for?,   Internet of Tools,  Interface of Things,   Internet of Things,   Interconnection of Tools,   C
88. What is the main function of an IP address?,   Store files,  Identify a device on a network,   Encrypt data,   Backup data,   B
89. What is the main programming language used to create iOS apps?,   Java,  Python,   Swift,   Kotlin,   C
90. Which of the following is an input device?,   Monitor,  Printer,   Scanner,   Speaker,   C
91. What does CPU stand for?,   Central Processing Utility,  Central Processing Unit,   Central Programming Unit,   Central Power Unit,   B
92. What is the base system of binary numbers?,10,2,8,16,   B
93. Which of the following is not a web browser?,   Chrome,  Firefox,   Safari,   Windows,   D
94. What is the shortcut key for pasting copied text?,   Ctrl + C,  Ctrl + X,   Ctrl + V,   Ctrl + P,   C
95. What is the default file extension for Microsoft Word documents?,   .xls,  .pdf,   .docx,   .pptx,   C
96. What is the main purpose of an operating system?,   To manage hardware and software resources,  To compile programs,   To design databases,   To perform arithmetic operations,   A
97. Which type of software is designed to harm or disrupt systems?,   Utility Software,  System Software,   Malware,   Application Software,   C
98. What is the main language used in Artificial Intelligence (AI)?,   C++,  Python,   PHP,   Ruby,   B
99. What does SSD stand for in storage devices?,   Super Storage Device,  Solid-State Drive,   Simple Storage Disk,   Standard Storage Device,   B
100. What is the function of a router in a network?,   Encrypt data,  Direct data packets between networks,   Store files,   Debug programs,   B
101. What is the shortcut key to open a new tab in most web browsers?,   Ctrl + W,  Ctrl + T,   Ctrl + N,   Ctrl + O,   B
102. Which of these is NOT a programming paradigm?,   Object-Oriented Programming,  Hardware-Oriented Programming,   Functional Programming,   Procedural Programming,   B
103. What is the purpose of the “ping” command?,   Connect to a website,  Check the connectivity between devices,   Monitor server load,   Update software,   B
104. Which is the fastest type of computer memory?,   Cache,  RAM,   ROM,   Hard Drive,   A
105. Which device is used for reading barcodes?,   Optical Drive,  Barcode Scanner,   OCR Reader,   RFID Scanner,   B
106. What is the name of the programming language designed by Google for app development?,   Kotlin,  Dart,   Swift,   Go,   B
107. What does VPN stand for?,   Virtual Processing Network,  Virtual Private Network,   Virtual Public Network,   Virtual Port Network,   B
108. Which software is used to view websites?,   Operating System,  Browser,   Database,   Compiler,   B
